Sentence,Entity
"Der »Monarch der Republik« empfange den König, während »das Volk auf der Straße demonstriert«, empörte sich die Grünenabgeordnete Sandrine Rousseau über Macron und forderte, den Besuch abzusagen.",Grüne
Menschenleerer Hauptbahnhof in Lübeck: Am Montag wird der Fernverkehr der Deutschen Bahn komplett eingestellt Melden Sie sich an und diskutieren Sie mit  AfD-Logo (Symbolbild) Der interne Zwist bei der Bremer AfD endet in einem Fiasko für die Partei.,AfD
"In der Bremer AfD gibt es derzeit zwei Vorstände, die sich gegenseitig die Legitimation zur Vertretung der Partei absprechen .",AfD
Später folgte auch eine Absage an die AfD-Listen im zweiten Wahlbereich Bremerhaven.,AfD
"Dort hatte der Wahlbereichsausschuss zunächst eine Liste der AfD zugelassen, woraufhin der Wahlbereichsleiter Beschwerde eingelegt hatte.",AfD
"Der Landeswahlausschuss gab dieser Beschwerde am Nachmittag statt, weil der Wahlvorschlag nicht von einem legitimierten AfD-Landesvorstand unterzeichnet worden sei.",AfD
Damit darf die AfD bei der Landtagswahl am 14. Mai überhaupt nicht antreten.,AfD
"AfD-Vertreter hatten bereits angedeutet, von der Möglichkeit Gebrauch machen zu wollen.",AfD
AfD-Logo (Symbolbild) Melden Sie sich an und diskutieren Sie mit  Wladimir Putin und Gerhard Schröder (im September 2005 im Bundeskanzleramt Berlin) Sean Gallup / Getty Images Sie können den Artikel leider nicht mehr aufrufen.,AfD
Das hat Finanzminister Marcus Optendrenk (CDU) in Düsseldorf angekündigt.,CDU
"Though Georgia has periodically been seen as a potential candidate for accession to the European Union or NATO, the current government is pursuing a clear pro-Russian course – but a significant share of Georgian citizens feel more affinity with Europe.",Union
"After the collapse of the Soviet Union, there were numerous unresolved conflicts in the regions of South Ossetia and Abkhazia.",Union
"DER SPIEGEL: For many years, Germany was far from achieving the 2 percent spending goal, and it will likely not reach it this year, either – even despite Chancellor Olaf Scholz's announcement last spring of a renewed focus on defense - the so-called Zeitenwende, or ""watershed"" - and of a special defense fund worth 100 billion euros.",Olaf Scholz
"Filiale des Drogeriemarkts dm (Symbolfoto): Sprengsatz im Katzenfutter  Bagger auf geplantem Intel-Werksgelände Von »Unfug« und »Wissenschaftsfeindlichkeit« war die Rede, der Ostbeauftragte der Bundesregierung sprach von einer »eher vulgärökonomischen Einschätzung«: In der Debatte über die Herausforderungen beim geplanten Bau einer riesigen Chipfabrik in Sachsen-Anhalt sind Wissenschaftler und Politiker heftig aneinandergeraten – doch jetzt schlägt die CDU im Landtag versöhnlichere Töne an.",CDU
"CDU-Fraktionschef Heuer machte nun klar, dass er dies auch gar nicht fordere: Man habe das Budget des Instituts gerade erst auf mehr als acht Millionen Euro erhöht, »das entspricht einem Mittelaufwuchs von mehr als sechzig Prozent in 15 Jahren«.",CDU
"Ähnliche Signale kamen bereits zuvor aus der Landespolitik: Wirtschaftsminister Sven Schulze (CDU) will am Montag nach Halle fahren, um mit Gropp und Holtemöller über die Angelegenheit zu reden.",CDU
"Über E-Fuels wird derzeit debattiert, weil die FDP sie zur Bedingung für das in der EU geplante Aus für Autos mit Verbrenner ab 2035 macht .",FDP
"Der an den Verhandlungen beteiligte Grünen-Abgeordnete Rasmus Andresen kritisierte: »Durch sehr weitreichende Ausnahmen, beispielsweise für den Inselverkehr und kleinere Schiffe, sind die vereinbarten Schlupflöcher zu groß.«",Grüne
Frachtschiff: E-Fuels sind teuer und bislang kaum verfügbar Melden Sie sich an und diskutieren Sie mit  Thomas Kutschaty Der nordrhein-westfälische SPD-Parteichef Thomas Kutschaty hat seinen Rücktritt erklärt.,SPD
"Das Präsidium habe Kutschatys Vorschlag, die weitgehend unbekannte Bonnerin Magdalena Möhlenkamp zur neuen Generalsekretärin zu machen, einstimmig abgelehnt, war am Donnerstag aus dem SPD-Landesvorstand verlautet.",SPD
"Auch sämtliche SPD-Regionalvorsitzende hätten Kutschatys Vorschlag bei der Sitzung am Mittwoch abgelehnt und Kritik an dem Verfahren geäußert, hieß es weiter.",SPD
"Aus der SPD verlautete zudem, dass Kutschaty zuletzt immer wieder in der Partei angeeckt sei.",SPD
"Als er vor zwei Jahren gewählt wurde, habe die SPD in NRW bei 17 Prozent gelegen.",SPD
Zehn Monate nach der Wahlschlappe der SPD bei der NRW-Landtagswahl ist die Partei damit in eine Führungskrise geraten.,SPD
Die NRW-SPD will am 6. Mai bei ihrem Parteitag in Münster eine neue Parteispitze wählen.,SPD
"Kutschaty hatte bisher bekräftigt, er wolle weitermachen und weiter Verantwortung an der Spitze der NRW-SPD übernehmen.",SPD
"Präsidium und Vorstand der NRW-SPD sollen baldmöglichst zusammenkommen, um darüber zu beraten, wie ein neues Team gefunden werden kann.",SPD
Der 54 Jahre alte Rechtsanwalt aus Essen ist zudem stellvertretender SPD-Bundesvorsitzender.,SPD
"Die Sozialdemokraten in NRW waren bei der Landtagswahl Mitte Mai 2022 auf einen historischen Tiefstand von 26,7 Prozent (2017: 31,2) abgesackt.",Sozialdemokraten
"NRW wird von einer schwarz-grünen Koalition regiert, davor war es ein Bündnis von CDU und FDP.",FDP
"NRW wird von einer schwarz-grünen Koalition regiert, davor war es ein Bündnis von CDU und FDP.",CDU
Thomas Kutschaty Melden Sie sich an und diskutieren Sie mit  Ampel-Politiker in der Verhandlungsphase 2021 Sie können den Artikel leider nicht mehr aufrufen.,Ampel
"Ampel-Politiker in der Verhandlungsphase 2021 Melden Sie sich an und diskutieren Sie mit  Evergrande-Fabrik in Tianjin: Weit hinter den eigenen Zielen zurück Der chinesische Elektroautohersteller Evergrande NEV, Tochter der unter einem riesigen Schuldenberg ächzenden Evergrande-Gruppe, kämpft ums Überleben.",Ampel
13.16 Uhr: Zum Auftakt des EU-Gipfels hat Bundeskanzler Olaf Scholz (SPD) die Geschlossenheit der Europäischen Union bei der Unterstützung der Ukraine in ihrem Abwehrkampf gegen die russischen Angreifer beschworen. »,Union
13.16 Uhr: Zum Auftakt des EU-Gipfels hat Bundeskanzler Olaf Scholz (SPD) die Geschlossenheit der Europäischen Union bei der Unterstützung der Ukraine in ihrem Abwehrkampf gegen die russischen Angreifer beschworen. »,SPD
13.16 Uhr: Zum Auftakt des EU-Gipfels hat Bundeskanzler Olaf Scholz (SPD) die Geschlossenheit der Europäischen Union bei der Unterstützung der Ukraine in ihrem Abwehrkampf gegen die russischen Angreifer beschworen. »,Olaf Scholz
"Zu den Worten von Bundesjustizminister Marco Buschmann (FDP), Deutschland müsse das Urteil umsetzen und den russischen Staatschef festnehmen, sollte er deutsches Territorium betreten, sagte Medwedew: »Ist er sich überhaupt klar, dass dies ein Casus Belli, eine Kriegserklärung wäre?",FDP
"Zu den Worten von Bundesjustizminister Marco Buschmann (FDP), Deutschland müsse das Urteil umsetzen und den russischen Staatschef festnehmen, sollte er deutsches Territorium betreten, sagte Medwedew: »Ist er sich überhaupt klar, dass dies ein Casus Belli, eine Kriegserklärung wäre?",Marco Buschmann
"Ex-US-Präsident Trump: Juristische Scharmützel in verschiedenen Angelegenheiten Melden Sie sich an und diskutieren Sie mit  FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Ob Wirtschaftsminister Habecks Vorwurf absichtlich geleakter Dokumente, der Dauerzwist zwischen Grünen und SPD etwa zu Gasheizungen und Biokraftstoffen  oder Differenzen über den nächsten Haushalt : Die Ampelkoalition ist derzeit nicht arm an Streitthemen.",SPD
"Ex-US-Präsident Trump: Juristische Scharmützel in verschiedenen Angelegenheiten Melden Sie sich an und diskutieren Sie mit  FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Ob Wirtschaftsminister Habecks Vorwurf absichtlich geleakter Dokumente, der Dauerzwist zwischen Grünen und SPD etwa zu Gasheizungen und Biokraftstoffen  oder Differenzen über den nächsten Haushalt : Die Ampelkoalition ist derzeit nicht arm an Streitthemen.",Grüne
"Ex-US-Präsident Trump: Juristische Scharmützel in verschiedenen Angelegenheiten Melden Sie sich an und diskutieren Sie mit  FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Ob Wirtschaftsminister Habecks Vorwurf absichtlich geleakter Dokumente, der Dauerzwist zwischen Grünen und SPD etwa zu Gasheizungen und Biokraftstoffen  oder Differenzen über den nächsten Haushalt : Die Ampelkoalition ist derzeit nicht arm an Streitthemen.",FDP
"Ex-US-Präsident Trump: Juristische Scharmützel in verschiedenen Angelegenheiten Melden Sie sich an und diskutieren Sie mit  FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Ob Wirtschaftsminister Habecks Vorwurf absichtlich geleakter Dokumente, der Dauerzwist zwischen Grünen und SPD etwa zu Gasheizungen und Biokraftstoffen  oder Differenzen über den nächsten Haushalt : Die Ampelkoalition ist derzeit nicht arm an Streitthemen.",Ampelkoalition
"Ex-US-Präsident Trump: Juristische Scharmützel in verschiedenen Angelegenheiten Melden Sie sich an und diskutieren Sie mit  FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Ob Wirtschaftsminister Habecks Vorwurf absichtlich geleakter Dokumente, der Dauerzwist zwischen Grünen und SPD etwa zu Gasheizungen und Biokraftstoffen  oder Differenzen über den nächsten Haushalt : Die Ampelkoalition ist derzeit nicht arm an Streitthemen.",Ampel
"Ex-US-Präsident Trump: Juristische Scharmützel in verschiedenen Angelegenheiten Melden Sie sich an und diskutieren Sie mit  FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Ob Wirtschaftsminister Habecks Vorwurf absichtlich geleakter Dokumente, der Dauerzwist zwischen Grünen und SPD etwa zu Gasheizungen und Biokraftstoffen  oder Differenzen über den nächsten Haushalt : Die Ampelkoalition ist derzeit nicht arm an Streitthemen.",Christian Lindner
"Ex-US-Präsident Trump: Juristische Scharmützel in verschiedenen Angelegenheiten Melden Sie sich an und diskutieren Sie mit  FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Ob Wirtschaftsminister Habecks Vorwurf absichtlich geleakter Dokumente, der Dauerzwist zwischen Grünen und SPD etwa zu Gasheizungen und Biokraftstoffen  oder Differenzen über den nächsten Haushalt : Die Ampelkoalition ist derzeit nicht arm an Streitthemen.",Bijan Djir-Sarai
"In puncto Haushalt hat FDP-Generalsekretär Bijan Djir-Sarai nun aber den Ton verschärft: »Wir haben kein gemeinsames Grundverständnis in der Bundesregierung, was die finanzpolitische Realität betrifft«, sagte er der Nachrichtenagentur dpa.",FDP
"In puncto Haushalt hat FDP-Generalsekretär Bijan Djir-Sarai nun aber den Ton verschärft: »Wir haben kein gemeinsames Grundverständnis in der Bundesregierung, was die finanzpolitische Realität betrifft«, sagte er der Nachrichtenagentur dpa.",Bijan Djir-Sarai
"Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner hier als Spielverderber sehen.«",FDP
"Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner hier als Spielverderber sehen.«",Christian Lindner
"Der Abschaffung der Pendlerpauschale, wie sie die Grünen fordern, erteilte er eine Absage.",Grüne
"Die Forderungen der FDP nach Haushaltsdisziplin seien nichts Außergewöhnliches, »sondern lediglich die Forderung nach Einhaltung des Koalitionsvertrages«, sagte Djir-Sarai.",FDP
"FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Melden Sie sich an und diskutieren Sie mit  Trotz Zeitenwende ist der Zustand der Bundeswehr blamabel.",FDP
"FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Melden Sie sich an und diskutieren Sie mit  Trotz Zeitenwende ist der Zustand der Bundeswehr blamabel.",Christian Lindner
"FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Melden Sie sich an und diskutieren Sie mit  Trotz Zeitenwende ist der Zustand der Bundeswehr blamabel.",Bijan Djir-Sarai
"Über die kurze Amtszeit von Christine Lambrecht, die Militärhilfe für die Ukraine und die Mängel, die der Wehrbeauftragten das Wort »erbärmlich« entlocken.",Christine Lambrecht
Hören Sie jetzt die neue Folge: Alle Quellen und weiterführende Links zum Thema finden Sie hier: Stimmenfang zur nuklearen Teilhabe Bundeswehrtagung 2022: Rede von Bundeskanzler Olaf Scholz  Verteidigungsministerin Lambrecht über den Krieg in der Ukraine  Die Null-Bock-Ministerin  Pistorius: Aufgabe mit großer Verantwortung  Mehrheit: Zusätzliches Geld für Bundeswehr  Panzerhaubitze 2000: Eines der modernsten Geschütze weltweit  Bundestag billigt Kauf von F35-Kampfjets Bundeswehr-Gewehr G36: Bitte nicht so viel schießen Gericht weist Beschwerde gegen Sturmgewehrauftrag zurück Bundeswehr war für Puma-Totalausfall verantwortlich – nicht die Industrie  Nato-Ziel: Deutscher Wehretat muss steigen  Wehrbeauftragte sieht Truppe teils in »erbärmlichem Zustand«  Högl: Noch kein Cent des Sondervermögens bei der Truppe angekommen  Sie haben Themenvorschläge oder Feedback zu unserem Podcast?,Olaf Scholz
"Aber wenn man gestern die Kommentare und Tweets einiger Kolleginnen und Kollegen zum Zustand der Ampelkoalition las, konnte man auf die Idee kommen, Olaf Scholz wäre kurz davor, Neuwahlen anzustreben (was gar nicht so einfach geht, Gerhard Schröder kann es bezeugen) oder Friedrich Merz zum Vizekanzler zu machen (was mit 67 Jahren immerhin endlich sein erstes Regierungsamt wäre).",Olaf Scholz
"Aber wenn man gestern die Kommentare und Tweets einiger Kolleginnen und Kollegen zum Zustand der Ampelkoalition las, konnte man auf die Idee kommen, Olaf Scholz wäre kurz davor, Neuwahlen anzustreben (was gar nicht so einfach geht, Gerhard Schröder kann es bezeugen) oder Friedrich Merz zum Vizekanzler zu machen (was mit 67 Jahren immerhin endlich sein erstes Regierungsamt wäre).",Friedrich Merz
"Aber wenn man gestern die Kommentare und Tweets einiger Kolleginnen und Kollegen zum Zustand der Ampelkoalition las, konnte man auf die Idee kommen, Olaf Scholz wäre kurz davor, Neuwahlen anzustreben (was gar nicht so einfach geht, Gerhard Schröder kann es bezeugen) oder Friedrich Merz zum Vizekanzler zu machen (was mit 67 Jahren immerhin endlich sein erstes Regierungsamt wäre).",Ampelkoalition
"Aber wenn man gestern die Kommentare und Tweets einiger Kolleginnen und Kollegen zum Zustand der Ampelkoalition las, konnte man auf die Idee kommen, Olaf Scholz wäre kurz davor, Neuwahlen anzustreben (was gar nicht so einfach geht, Gerhard Schröder kann es bezeugen) oder Friedrich Merz zum Vizekanzler zu machen (was mit 67 Jahren immerhin endlich sein erstes Regierungsamt wäre).",Ampel
Ich kann Ihnen aber versichern: Die Ampel bleibt.,Ampel
Große Worte: Robert Habeck Nach allerlei Kabbeleien in den letzten Wochen hatte Robert Habeck am Dienstagabend den »Tagesthemen« ein Interview gegeben.,Robert Habeck
"Damals regierte Schwarz-Gelb (noch kein Jahr), und nach längerer Diskussion hatten wir uns als Redaktion für eine sehr einfache Titelzeile entschieden: »Aufhören!«",Schwarz-Gelb
"Aber verglichen mit Schwarz-Gelb, ist die Ampel immer noch ein Waldorfkindergarten.",Ampel
"Aber verglichen mit Schwarz-Gelb, ist die Ampel immer noch ein Waldorfkindergarten.",Schwarz-Gelb
"Schwarz-Gelb regierte damals übrigens die gesamte Legislaturperiode, und die Kanzlerin blieb auch nach der Wahl 2013 Kanzlerin.",Schwarz-Gelb
"Nur die FDP, die flog dann aus dem Bundestag.",FDP
"Stress in der Ampelregierung: So kontern SPD und FDP Habecks Vorwürfe In Brüssel beginnt heute ein EU-Gipfel, und ich möchte kurz aus der Ankündigung einer Nachrichtenagentur zitieren: »Auf der Tagesordnung stehen unter anderem Debatten zur Ukraine, zur Wettbewerbsfähigkeit, zum Binnenmarkt und zur Wirtschaft sowie zur Energie.«",SPD
"Stress in der Ampelregierung: So kontern SPD und FDP Habecks Vorwürfe In Brüssel beginnt heute ein EU-Gipfel, und ich möchte kurz aus der Ankündigung einer Nachrichtenagentur zitieren: »Auf der Tagesordnung stehen unter anderem Debatten zur Ukraine, zur Wettbewerbsfähigkeit, zum Binnenmarkt und zur Wirtschaft sowie zur Energie.«",FDP
"Stress in der Ampelregierung: So kontern SPD und FDP Habecks Vorwürfe In Brüssel beginnt heute ein EU-Gipfel, und ich möchte kurz aus der Ankündigung einer Nachrichtenagentur zitieren: »Auf der Tagesordnung stehen unter anderem Debatten zur Ukraine, zur Wettbewerbsfähigkeit, zum Binnenmarkt und zur Wirtschaft sowie zur Energie.«",Ampel
"Stress in der Ampelregierung: So kontern SPD und FDP Habecks Vorwürfe In Brüssel beginnt heute ein EU-Gipfel, und ich möchte kurz aus der Ankündigung einer Nachrichtenagentur zitieren: »Auf der Tagesordnung stehen unter anderem Debatten zur Ukraine, zur Wettbewerbsfähigkeit, zum Binnenmarkt und zur Wirtschaft sowie zur Energie.«",Ampelregierung
Die Linke und die abtrünnige Wagenknecht: Jetzt reicht’s  Prater in Wien …sind alle Wienerinnen und Wiener.,Die Linke
"Ihr Christoph Hickmann, stellvertretender Leiter des SPIEGEL-Hauptstadtbüros Große Worte: Robert Habeck Selenskyj, Soldaten: Unvorstellbarer Mut Sahra Wagenknecht, Vortragsreisende Oliver Ziebe / dpa Prater in Wien Es ist ein Fehler aufgetreten.",Robert Habeck
"Am morgigen Donnerstag kommen derweil die Staats- und Regierungschefs der Europäischen Union in Brüssel zu ihrem zweitägigen Frühjahrsgipfel zusammen, wobei auch Selenskyj per Video zugeschaltet wird.",Union
"Pellegrinis Sozialdemokraten hatten zuvor ebenso wie andere Oppositionsparteien kritisiert, dass die seit einem im Dezember verlorenen Misstrauensvotum nur mehr kommissarisch amtierende Minderheitsregierung die Übergabe der MiG-29 an die Ukraine unter Umgehung des Parlaments beschlossen habe.",Sozialdemokraten
Keine Angst vor Donald Trump: Manhattans Bezirksstaatsanwalt Alvin Bragg Seth Wenig / AP Melden Sie sich an und diskutieren Sie mit  Zwei gegen den Planeten: Protest von Klimaaktivisten mit den Konterfeis der FDP-Minister Christian Lindner und Volker Wissing Sie können den Artikel leider nicht mehr aufrufen.,FDP
Keine Angst vor Donald Trump: Manhattans Bezirksstaatsanwalt Alvin Bragg Seth Wenig / AP Melden Sie sich an und diskutieren Sie mit  Zwei gegen den Planeten: Protest von Klimaaktivisten mit den Konterfeis der FDP-Minister Christian Lindner und Volker Wissing Sie können den Artikel leider nicht mehr aufrufen.,Volker Wissing
Keine Angst vor Donald Trump: Manhattans Bezirksstaatsanwalt Alvin Bragg Seth Wenig / AP Melden Sie sich an und diskutieren Sie mit  Zwei gegen den Planeten: Protest von Klimaaktivisten mit den Konterfeis der FDP-Minister Christian Lindner und Volker Wissing Sie können den Artikel leider nicht mehr aufrufen.,Christian Lindner
Zwei gegen den Planeten: Protest von Klimaaktivisten mit den Konterfeis der FDP-Minister Christian Lindner und Volker Wissing Melden Sie sich an und diskutieren Sie mit  Verwüstung durch »Ian« in Florida: Hurrikan verursachte Schäden von bis zu 65 Milliarden Dollar Ricardo Arduengo / AFP Naturkatastrophen haben im vergangenen Jahr weltweit wirtschaftliche Schäden in Höhe von 275 Milliarden Dollar (255 Milliarden Euro) verursacht.,FDP
Zwei gegen den Planeten: Protest von Klimaaktivisten mit den Konterfeis der FDP-Minister Christian Lindner und Volker Wissing Melden Sie sich an und diskutieren Sie mit  Verwüstung durch »Ian« in Florida: Hurrikan verursachte Schäden von bis zu 65 Milliarden Dollar Ricardo Arduengo / AFP Naturkatastrophen haben im vergangenen Jahr weltweit wirtschaftliche Schäden in Höhe von 275 Milliarden Dollar (255 Milliarden Euro) verursacht.,Volker Wissing
Zwei gegen den Planeten: Protest von Klimaaktivisten mit den Konterfeis der FDP-Minister Christian Lindner und Volker Wissing Melden Sie sich an und diskutieren Sie mit  Verwüstung durch »Ian« in Florida: Hurrikan verursachte Schäden von bis zu 65 Milliarden Dollar Ricardo Arduengo / AFP Naturkatastrophen haben im vergangenen Jahr weltweit wirtschaftliche Schäden in Höhe von 275 Milliarden Dollar (255 Milliarden Euro) verursacht.,Christian Lindner
Die Ampelkoalition solle kurzfristiges Krisenmanagement und langfristige Zukunftsgestaltung in europäischen Lösungen miteinander verbinden.,Ampelkoalition
Die Ampelkoalition solle kurzfristiges Krisenmanagement und langfristige Zukunftsgestaltung in europäischen Lösungen miteinander verbinden.,Ampel
"Fire TV QLED Omni: Sensoren erfassen die Umgebung Melden Sie sich an und diskutieren Sie mit  Guten Abend, die drei Fragezeichen heute: Ampelstreit – warum ist Robert Habeck so wütend? »",Ampel
"Fire TV QLED Omni: Sensoren erfassen die Umgebung Melden Sie sich an und diskutieren Sie mit  Guten Abend, die drei Fragezeichen heute: Ampelstreit – warum ist Robert Habeck so wütend? »",Robert Habeck
In der Ampelkoalition hat es heute geknallt.,Ampelkoalition
In der Ampelkoalition hat es heute geknallt.,Ampel
"Auslöser war ein Auftritt des grünen Vizekanzlers und Wirtschaftsministers Robert Habeck gestern Abend in den ARD-»Tagesthemen«, wo er seinen Koalitionspartnern unter anderem Fortschrittsverweigerung und absichtlichen Vertrauensbruch vorwarf.",Robert Habeck
Das wollten SPD und FDP so nicht stehenlassen.,SPD
Das wollten SPD und FDP so nicht stehenlassen.,FDP
"FDP-Generalsekretär Bijan Djir-Sarai sagte heute dem SPIEGEL: »Die Wahrnehmung von Herrn Habeck, die Grünen seien in der Ampelkoalition für den Fortschritt verantwortlich und die anderen Parteien würden ihn verhindern, entspricht nicht der Realität.«",Grüne
"FDP-Generalsekretär Bijan Djir-Sarai sagte heute dem SPIEGEL: »Die Wahrnehmung von Herrn Habeck, die Grünen seien in der Ampelkoalition für den Fortschritt verantwortlich und die anderen Parteien würden ihn verhindern, entspricht nicht der Realität.«",FDP
"FDP-Generalsekretär Bijan Djir-Sarai sagte heute dem SPIEGEL: »Die Wahrnehmung von Herrn Habeck, die Grünen seien in der Ampelkoalition für den Fortschritt verantwortlich und die anderen Parteien würden ihn verhindern, entspricht nicht der Realität.«",Ampelkoalition
"FDP-Generalsekretär Bijan Djir-Sarai sagte heute dem SPIEGEL: »Die Wahrnehmung von Herrn Habeck, die Grünen seien in der Ampelkoalition für den Fortschritt verantwortlich und die anderen Parteien würden ihn verhindern, entspricht nicht der Realität.«",Ampel
"FDP-Generalsekretär Bijan Djir-Sarai sagte heute dem SPIEGEL: »Die Wahrnehmung von Herrn Habeck, die Grünen seien in der Ampelkoalition für den Fortschritt verantwortlich und die anderen Parteien würden ihn verhindern, entspricht nicht der Realität.«",Bijan Djir-Sarai
SPD-Fraktionsvize Dirk Wiese unterstellte Habeck einen allzu billigen Profilierungsversuch: »Etwas mehr Selbstkritik wäre richtig gewesen.«,SPD
SPD-Fraktionsvize Dirk Wiese unterstellte Habeck einen allzu billigen Profilierungsversuch: »Etwas mehr Selbstkritik wäre richtig gewesen.«,SPD-Fraktion
"Wirtschaftsminister Habeck (Grüne) FDP-Politiker Konstantin Kuhle wies Habecks Mutmaßung zurück, man habe seinen Gesetzentwurf zum Heizungstausch vorzeitig an die »Bild«-Zeitung durchgestochen, um ihn zu erledigen. »",Grüne
"Wirtschaftsminister Habeck (Grüne) FDP-Politiker Konstantin Kuhle wies Habecks Mutmaßung zurück, man habe seinen Gesetzentwurf zum Heizungstausch vorzeitig an die »Bild«-Zeitung durchgestochen, um ihn zu erledigen. »",FDP
"Und dann kam auch noch FDP-Vize Wolfgang Kubicki mit der These um die Ecke, dass Habeck ein ähnliches Verständnis von Freiheit habe wie, kein Witz, Wladimir Putin.",FDP
"Und dann kam auch noch FDP-Vize Wolfgang Kubicki mit der These um die Ecke, dass Habeck ein ähnliches Verständnis von Freiheit habe wie, kein Witz, Wladimir Putin.",Wolfgang Kubicki
"Je nach Zählweise hängen bis zu 40 Projekte der Ampel in der Luft, weil sich die drei Partner nicht einigen können; vom EU-Verbrennerautoverbot bis zur Kindergrundsicherung.",Ampel
"Doch während in der öffentlichen Debatte bislang zumeist die FDP als Schuldige ausgemacht wurde, weil sie sich den Plänen der beiden linken Partner widersetze, rücken nun die Grünen in die Außenseiterrolle.",Grüne
"Doch während in der öffentlichen Debatte bislang zumeist die FDP als Schuldige ausgemacht wurde, weil sie sich den Plänen der beiden linken Partner widersetze, rücken nun die Grünen in die Außenseiterrolle.",FDP
Das von Habeck forcierte Verbot neuer Öl- und Gasheizungen halten viele in der SPD für unausgereift und unsozial.,SPD
Das von der grünen Umweltministerin Steffi Lemke vorgeschlagene Biosprit-Ende bis 2030 lehnen die SPD-Fachpolitiker ab.,SPD
Das von der grünen Umweltministerin Steffi Lemke vorgeschlagene Biosprit-Ende bis 2030 lehnen die SPD-Fachpolitiker ab.,Steffi Lemke
"Und dass die Grünen jetzt auch noch den Kohleausstieg in Ostdeutschland vorziehen wollen, geht nach Genossenmeinung gar nicht.",Grüne
"Und dass die Grünen jetzt auch noch den Kohleausstieg in Ostdeutschland vorziehen wollen, geht nach Genossenmeinung gar nicht.",Genossen
"Habeck habe »anscheinend in seiner eigenen Partei ein bisschen Druck auf dem Kessel«, sagte SPD-Generalsekretär Kevin Kühnert heute.",SPD
"Habeck habe »anscheinend in seiner eigenen Partei ein bisschen Druck auf dem Kessel«, sagte SPD-Generalsekretär Kevin Kühnert heute.",Kevin Kühnert
"Marina Kormbaki und Christian Teevs aus unserem SPIEGEL-Hauptstadtbüro analysieren, dass hinter den Streitereien zwischen SPD und Grünen auch ein tieferer Konflikt steckt .",SPD
"Marina Kormbaki und Christian Teevs aus unserem SPIEGEL-Hauptstadtbüro analysieren, dass hinter den Streitereien zwischen SPD und Grünen auch ein tieferer Konflikt steckt .",Grüne
Für die Grünen gehe es um die Rolle als führende Kraft der linken Mitte.,Grüne
"Auch die SPD sehe die Grünen als Konkurrenten, gepaart mit einer gewissen Herablassung.",SPD
"Auch die SPD sehe die Grünen als Konkurrenten, gepaart mit einer gewissen Herablassung.",Grüne
Subtext: Die Grünen müssten noch in der Regierung ankommen.,Grüne
Subtext: Die Grünen müssten noch in der Regierung ankommen.,Die Grünen
Lesen Sie hier mehr: So kontern SPD und FDP Habecks Vorwürfe Die Bundesanwaltschaft hat heute erneut mehrere Wohnungen von mutmaßlichen Anhängern der sogenannten Reichsbürger-Gruppe um Heinrich XIII.,SPD
Lesen Sie hier mehr: So kontern SPD und FDP Habecks Vorwürfe Die Bundesanwaltschaft hat heute erneut mehrere Wohnungen von mutmaßlichen Anhängern der sogenannten Reichsbürger-Gruppe um Heinrich XIII.,FDP
Linkenchefin Janine Wissler kritisierte heute ihre Noch-Parteifreundin: Bundesabgeordnete sollten ihre Arbeit im Parlament machen.,Janine Wissler
"Die »grob verfälschende«  (»FAZ«) Sendung über Bosnien-Herzegowina, wo angeblich ein muslimfeindlicher Politdilettant der CSU sein Unwesen treibe?",CSU
