Sentence,Entity,predicted_label
"Wobei sich die Grünen in Berlin, das muss man sagen, mit einigem schwertun, vor allem mit sich selbst.)",Grüne,2
Und Olaf Scholz wäre nicht Kanzler geworden.,Olaf Scholz,2
"Tschetschenen im Ukrainekrieg: Mit Pinsel und Granatwerfer  In Linstow, Mecklenburg-Vorpommern, kommen heute CDU-Mitglieder zusammen, um über ein neues CDU-Grundsatzprogramm zu diskutieren.",CDU,2
"Unter anderem mit Friedrich Merz und Mario Czaja, also ihrem Vorsitzenden und ihrem Generalsekretär.",Mario Czaja,2
"Unter anderem mit Friedrich Merz und Mario Czaja, also ihrem Vorsitzenden und ihrem Generalsekretär.",Friedrich Merz,2
"Die CDU nennt das Ganze »Mitgliedermärz« (was mich kurz zum Nachdenken darüber brachte, was mit den anderen Monaten ist, ob es also auch einen Funktionärs-Februar gibt, einen Ortsvereins-Oktober oder Delegierten-Dezember, aber das führt hier zu weit).",CDU,2
Mario Czaja und Friedrich Merz in Münster Ich finde das aus zwei Gründen bemerkenswert.,Mario Czaja,2
Mario Czaja und Friedrich Merz in Münster Ich finde das aus zwei Gründen bemerkenswert.,Friedrich Merz,2
"Erstens bestand das Programm der CDU über Jahrzehnte vor allem darin, den Kanzler oder die Kanzlerin zu stellen.",CDU,2
"Damals war das noch etwas Außergewöhnliches, das vor allem bei SPD und Grünen praktiziert wurde – und zwar vor allem dann, wenn es richtig schwierig wurde, etwa als Gerhard Schröder für seine Agenda 2010 kämpfte.",SPD,2
"Damals war das noch etwas Außergewöhnliches, das vor allem bei SPD und Grünen praktiziert wurde – und zwar vor allem dann, wenn es richtig schwierig wurde, etwa als Gerhard Schröder für seine Agenda 2010 kämpfte.",Grüne,2
"Mittlerweile geht eigentlich nichts mehr ohne die Mitglieder, auch bei der CDU nicht. »",CDU,2
"Ich erinnere mich beispielsweise an eine SPD-Regionalkonferenz, bei der Sigmar Gabriel 2013 die Große Koalition durchsetzen wollte, in seiner Partei damals ungefähr so beliebt wie Penicillin auf einem Homöopathen-Kongress.",SPD,2
"Ich erinnere mich beispielsweise an eine SPD-Regionalkonferenz, bei der Sigmar Gabriel 2013 die Große Koalition durchsetzen wollte, in seiner Partei damals ungefähr so beliebt wie Penicillin auf einem Homöopathen-Kongress.",Große Koalition,2
"Ich bin bis heute sicher, dass Gabriel mit seinem Pöbelinterview deutlich mehr Genossen überzeugt hat als mit seinem eigentlichen, eher ausbaufähigen Auftritt.",Genossen,0
"Friedrich Merz sollte heute trotzdem besser nicht versuchen, das nachzumachen.",Friedrich Merz,2
"Ein CDU-Generalsekretär emanzipiert sich: Merz greift an und Czaja räumt auf – damit soll jetzt Schluss sein  Thomas Kutschaty …ist die SPD, genauer: die SPD in Nordrhein-Westfalen.",SPD,1
"Ein CDU-Generalsekretär emanzipiert sich: Merz greift an und Czaja räumt auf – damit soll jetzt Schluss sein  Thomas Kutschaty …ist die SPD, genauer: die SPD in Nordrhein-Westfalen.",CDU,1
"Ich komme aus Nordrhein-Westfalen, in meiner Heimatstadt Oberhausen, eigentlich im gesamten Ruhrgebiet, war die SPD eine Art demokratische Version von Ludwig XIV. (",SPD,2
"In Oberhausen regiert ein CDU-Oberbürgermeister (den ich kenne, weil wir beide bei den Messdienern waren, er war damals schon sehr gewissenhaft und stellte die Pläne auf, wer wann am Altar zu stehen hatte).",CDU,2
"In Düsseldorf, in der Staatskanzlei, sitzt der CDU-Ministerpräsident Hendrik Wüst (der den früheren sogenannten CDU-Kanzlerkandidaten Armin Laschet abgelöst hat).",CDU,2
Und die SPD?,SPD,2
"Gestern ist Thomas Kutschaty zurückgetreten, der Vorsitzende der NRW-SPD.",SPD,2
Verkehrsministerium lenkt im Verbrennerstreit offenbar ein: Im Streit über das Verbrenner-Aus scheint die Bundesregierung nachzugeben: Nach SPIEGEL-Informationen will das FDP-Verkehrsministerium die künftigen CO2-Grenzwerte für Pkw nicht neu verhandeln.,FDP,1
"SPIEGEL-Leitartikel – ein Risiko namens Olaf Scholz: Kaum geraten wieder Banken in Schieflage, fällt die Politik in falsche Reflexe – allen voran der Bundeskanzler.",Olaf Scholz,1
"Ihr Christoph Hickmann, stellvertretender Leiter des SPIEGEL-Hauptstadtbüros In der Hauptstadt stehen mal wieder Großplakate herum Ukrainische Soldaten (Symbolbild) Mario Czaja und Friedrich Merz in Münster Thomas Kutschaty Es ist ein Fehler aufgetreten.",Mario Czaja,1
"Ihr Christoph Hickmann, stellvertretender Leiter des SPIEGEL-Hauptstadtbüros In der Hauptstadt stehen mal wieder Großplakate herum Ukrainische Soldaten (Symbolbild) Mario Czaja und Friedrich Merz in Münster Thomas Kutschaty Es ist ein Fehler aufgetreten.",Friedrich Merz,1
Bundeskanzler Olaf Scholz hat seine Haltung bereits mehrfach deutlich gemacht: Für ihn ist die Lieferung moderner westlicher Kampfjets derzeit kein Thema. »,Olaf Scholz,2
"Demnach ist Verkehrsminister Volker Wissing (FDP) von seiner früheren Forderung abgerückt, die geplanten Flottengrenzwerte neu zu verhandeln, um auch nach dem Jahr 2035 noch Autos mit Verbrennungsmotoren zulassen zu können.",FDP,2
"Demnach ist Verkehrsminister Volker Wissing (FDP) von seiner früheren Forderung abgerückt, die geplanten Flottengrenzwerte neu zu verhandeln, um auch nach dem Jahr 2035 noch Autos mit Verbrennungsmotoren zulassen zu können.",Volker Wissing,2
An Bord des Fliegers befand sich unter anderen Außenministerin Annalena Baerbock (Grüne).,Grüne,2
"Baerbock reist in die Südkaukasusrepublik Georgien, um angesichts von Einflussversuchen Russlands für die weitere Annäherung an die Europäische Union zu werben.",Union,2
Anschließend will die Grünenpolitikerin Ministerpräsident Irakli Garibaschwili sowie Staatspräsidentin Salome Surabischwili treffen.,Grüne,2
"Übergangen, gemobbt, abserviert: Wie Ältere diskriminiert werden Melden Sie sich an und diskutieren Sie mit  Taschen in einer Grundschule: »Die Begrenzung der Schulkosten ist unser gemeinsames Ziel«, sagt Schleswigs-Holsteins Bildungsministerin Karin Prien (CDU) Bernd Weißbrod / dpa Schulessen, Ranzen, Sportschuhe, Taschenrechner, Klassenfahrten, Ausflüge: Der eigentliche Schulbesuch ist in Deutschland zwar gratis, aber die Kosten für Eltern läppern sich oftmals, wenn Kinder in die Schule gehen.",CDU,1
"SPD, FDP und SSW forderten von der Regierung, Mütter und Väter müssten hier mehr entlastet werden.",SPD,1
"SPD, FDP und SSW forderten von der Regierung, Mütter und Väter müssten hier mehr entlastet werden.",FDP,1
"SPD-Politiker Martin Habersaat monierte, dass die Regierung gar keine Daten dazu habe, auf welche Summe sich die Schulkosten für Eltern in Schleswig-Holstein aktuell belaufen. »",SPD,2
Zu dem Thema hatten SPD und SSW eine Große Anfrage  gestellt.,SPD,2
"FDP-Fraktionschef Christopher Vogt kritisierte, die Bildungspolitik der CDU sei »auf den Hund gekommen«.",FDP,1
"FDP-Fraktionschef Christopher Vogt kritisierte, die Bildungspolitik der CDU sei »auf den Hund gekommen«.",CDU,1
"FDP-Fraktionschef Christopher Vogt kritisierte, die Bildungspolitik der CDU sei »auf den Hund gekommen«.",FDP-Fraktion,1
"Bildungsministerin Karin Prien (CDU) »Die Begrenzung der Schulkosten ist unser gemeinsames Ziel«, sagte Bildungsministerin Karin Prien (CDU) bei der Debatte im Kieler Landtag.",CDU,2
"Taschen in einer Grundschule: »Die Begrenzung der Schulkosten ist unser gemeinsames Ziel«, sagt Schleswigs-Holsteins Bildungsministerin Karin Prien (CDU) Bernd Weißbrod / dpa Melden Sie sich an und diskutieren Sie mit  Wettrennen in der Luft – mit einem Jet-Suit.",CDU,2
Ein Sprecher der Grünen-Politikerin bestätigte am Donnerstag einen entsprechenden Bericht der »Süddeutschen Zeitung«.,Grüne,2
"Geht es nach den wissenschaftlichen Beratern von Volker Wissing, ist klar, in welche Richtung Autodeutschland steuern sollte: »Vor allem die beschleunigte Antriebswende hin zur Elektromobilität« empfahlen Franz Loogen und Meike Jipp, die Vorsitzenden des Expertenbeirats für Klimaschutz in der Mobilität, dem FDP-Verkehrsminister am Mittwoch.",FDP,2
"Geht es nach den wissenschaftlichen Beratern von Volker Wissing, ist klar, in welche Richtung Autodeutschland steuern sollte: »Vor allem die beschleunigte Antriebswende hin zur Elektromobilität« empfahlen Franz Loogen und Meike Jipp, die Vorsitzenden des Expertenbeirats für Klimaschutz in der Mobilität, dem FDP-Verkehrsminister am Mittwoch.",Volker Wissing,2
Deshalb blockiert die FDP in Berlin und Brüssel den geplanten Ausstieg aus dem Verbrennungsmotor 2035. Das Thema dürfte auch den EU-Gipfel an diesem Donnerstag überschatten.,FDP,1
"Doch was immer Experten oder europäische Entscheider meinen, Volker Wissing kann sich auf wichtigen Rückhalt stützen: Die deutsche Wahlbevölkerung ist überwiegend auf seiner Seite.",Volker Wissing,1
"Eine satte Mehrheit von 81 Prozent pro Verbrenner-Aus findet sich lediglich unter den Befragten, die aktuell die Grünen wählen würden – eine einsame Position.",Grüne,2
"In der Anhängerschaft aller anderen Parteien überwiegt das Nein, bei der AfD sogar mit 96 Prozent. (",AfD,2
"Am Mittwoch hatten sich die Staatssekretäre der beteiligten Ministerien zu einem Schlichtungsversuch getroffen, nachdem sowohl bei der FDP als auch der SPD Kritik an dem Entwurf für die Novelle des Gebäudeenergiegesetzes aufgekommen war.",SPD,1
"Am Mittwoch hatten sich die Staatssekretäre der beteiligten Ministerien zu einem Schlichtungsversuch getroffen, nachdem sowohl bei der FDP als auch der SPD Kritik an dem Entwurf für die Novelle des Gebäudeenergiegesetzes aufgekommen war.",FDP,1
Vorgelegt hatte es das Bundeswirtschaftsministerium von Robert Habeck (Grüne) und das von Bundesbauministerin Klara Geywitz (SPD).,SPD,2
Vorgelegt hatte es das Bundeswirtschaftsministerium von Robert Habeck (Grüne) und das von Bundesbauministerin Klara Geywitz (SPD).,Grüne,2
Vorgelegt hatte es das Bundeswirtschaftsministerium von Robert Habeck (Grüne) und das von Bundesbauministerin Klara Geywitz (SPD).,Robert Habeck,2
Vorgelegt hatte es das Bundeswirtschaftsministerium von Robert Habeck (Grüne) und das von Bundesbauministerin Klara Geywitz (SPD).,Klara Geywitz,2
"Auch herrscht Misstrauen unter den Ampelkoalitionären, ob die gerade erzielten Verständigungen am Ende doch nicht noch von der einen oder der anderen Seite kassiert würden. »",Ampelkoalition,1
"Auch herrscht Misstrauen unter den Ampelkoalitionären, ob die gerade erzielten Verständigungen am Ende doch nicht noch von der einen oder der anderen Seite kassiert würden. »",Ampel,1
"Dies solle, so heißt es aus der Ampelkoalition, Mitnahmeeffekte bei den Herstellern von Wärmepumpen verhindern.",Ampelkoalition,2
"Dies solle, so heißt es aus der Ampelkoalition, Mitnahmeeffekte bei den Herstellern von Wärmepumpen verhindern.",Ampel,2
"Annäherung gibt es in der Ampel bei dem wohl strittigsten Punkt, der Frage, welche Heizungen künftig noch erlaubt sein sollen.",Ampel,2
Die FDP fordert Technologieoffenheit.,FDP,2
"So soll es nach Auffassung der Liberalen auch bei einem Neubau möglich sein, eine Gasheizung einzubauen, solange diese zu 65 Prozent mit klimaneutralem Brennstoff wie grünem Wasserstoff oder Biomethan betrieben wird.",Liberale,2
Seit Wochen gibt es großen Streit in der Ampelkoalition über das Gebäudeenergiegesetz.,Ampelkoalition,2
Seit Wochen gibt es großen Streit in der Ampelkoalition über das Gebäudeenergiegesetz.,Ampel,2
"Von einer »Verbotsorgie« sprach man bei der FDP, zuletzt waren auch Länderchefs wie die Ministerpräsidentin von Mecklenburg-Vorpommern, Manuela Schwesig (SPD), von dem Koalitionsvorhaben abgerückt.",SPD,1
"Von einer »Verbotsorgie« sprach man bei der FDP, zuletzt waren auch Länderchefs wie die Ministerpräsidentin von Mecklenburg-Vorpommern, Manuela Schwesig (SPD), von dem Koalitionsvorhaben abgerückt.",FDP,1
"Von einer »Verbotsorgie« sprach man bei der FDP, zuletzt waren auch Länderchefs wie die Ministerpräsidentin von Mecklenburg-Vorpommern, Manuela Schwesig (SPD), von dem Koalitionsvorhaben abgerückt.",Manuela Schwesig,1
"Grün und grimmig: Vizekanzler Robert Habeck setzt den Ton, Schluss mit nett: Die Grünen gehen nun auf Konfrontationskurs zu ihren Koalitionspartnern.",Grüne,1
"Grün und grimmig: Vizekanzler Robert Habeck setzt den Ton, Schluss mit nett: Die Grünen gehen nun auf Konfrontationskurs zu ihren Koalitionspartnern.",Robert Habeck,1
"Grün und grimmig: Vizekanzler Robert Habeck setzt den Ton, Schluss mit nett: Die Grünen gehen nun auf Konfrontationskurs zu ihren Koalitionspartnern.",Die Grünen,1
"Die Verkehrsministerkonferenz (VMK) habe »heute noch einmal einstimmig bekräftigt, dass das Deutschlandticket kommt«, sagte Hessens zuständiger Minister Tarek Al-Wazir (Grüne).",Grüne,2
"Der derzeitige Vorsitzende Oliver Krischer (ebenfalls Grüne) geht davon aus, dass auch der Bundesrat am Freitag kommender Woche grünes Licht gibt.",Grüne,2
Das teilt das Ministerium von Cem Özdemir (Grüne) auf Anfrage des SPIEGEL mit.,Grüne,2
Das teilt das Ministerium von Cem Özdemir (Grüne) auf Anfrage des SPIEGEL mit.,Cem Özdemir,2
ZDF-Ansagerin Birgit Schrowange (1983): »Guten Abend« Renate Schäfer / ZDF Ansagerin Mady Riehl (1965) Programm-Moderatorin Babette Einstmann (1993) Ansagerin Elfie von Kalckreuth (1973) Melden Sie sich an und diskutieren Sie mit  Bundesgesundheitsminister Karl Lauterbach Janine Schmitz / photothek / IMAGO Nach einer gemeinsamen Runde mit den Landesressortchefs hat Bundesgesundheitsminister Karl Lauterbach (SPD) vor einem Sterben der Krankenhäuser auf dem Land gewarnt. »,SPD,2
ZDF-Ansagerin Birgit Schrowange (1983): »Guten Abend« Renate Schäfer / ZDF Ansagerin Mady Riehl (1965) Programm-Moderatorin Babette Einstmann (1993) Ansagerin Elfie von Kalckreuth (1973) Melden Sie sich an und diskutieren Sie mit  Bundesgesundheitsminister Karl Lauterbach Janine Schmitz / photothek / IMAGO Nach einer gemeinsamen Runde mit den Landesressortchefs hat Bundesgesundheitsminister Karl Lauterbach (SPD) vor einem Sterben der Krankenhäuser auf dem Land gewarnt. »,Karl Lauterbach,2
"Bundesgesundheitsminister Karl Lauterbach Janine Schmitz / photothek / IMAGO Melden Sie sich an und diskutieren Sie mit  Frankreichs Präsident Emmanuel Macron im Juni 2020 bei Charles und Camilla in London: Ab Sonntag sind die Royals in Paris Brennende Barrikaden, Streiks und Proteste: Wenn Charles III. am Sonntag nach Frankreich reist, erwartet ihn ein Land in Aufruhr.",Karl Lauterbach,1
"Der »Monarch der Republik« empfange den König, während »das Volk auf der Straße demonstriert«, empörte sich die Grünenabgeordnete Sandrine Rousseau über Macron und forderte, den Besuch abzusagen.",Grüne,1
Menschenleerer Hauptbahnhof in Lübeck: Am Montag wird der Fernverkehr der Deutschen Bahn komplett eingestellt Melden Sie sich an und diskutieren Sie mit  AfD-Logo (Symbolbild) Der interne Zwist bei der Bremer AfD endet in einem Fiasko für die Partei.,AfD,2
"In der Bremer AfD gibt es derzeit zwei Vorstände, die sich gegenseitig die Legitimation zur Vertretung der Partei absprechen .",AfD,2
Später folgte auch eine Absage an die AfD-Listen im zweiten Wahlbereich Bremerhaven.,AfD,2
"Dort hatte der Wahlbereichsausschuss zunächst eine Liste der AfD zugelassen, woraufhin der Wahlbereichsleiter Beschwerde eingelegt hatte.",AfD,2
"Der Landeswahlausschuss gab dieser Beschwerde am Nachmittag statt, weil der Wahlvorschlag nicht von einem legitimierten AfD-Landesvorstand unterzeichnet worden sei.",AfD,2
Damit darf die AfD bei der Landtagswahl am 14. Mai überhaupt nicht antreten.,AfD,2
"AfD-Vertreter hatten bereits angedeutet, von der Möglichkeit Gebrauch machen zu wollen.",AfD,2
AfD-Logo (Symbolbild) Melden Sie sich an und diskutieren Sie mit  Wladimir Putin und Gerhard Schröder (im September 2005 im Bundeskanzleramt Berlin) Sean Gallup / Getty Images Sie können den Artikel leider nicht mehr aufrufen.,AfD,2
Das hat Finanzminister Marcus Optendrenk (CDU) in Düsseldorf angekündigt.,CDU,2
"Though Georgia has periodically been seen as a potential candidate for accession to the European Union or NATO, the current government is pursuing a clear pro-Russian course – but a significant share of Georgian citizens feel more affinity with Europe.",Union,2
"After the collapse of the Soviet Union, there were numerous unresolved conflicts in the regions of South Ossetia and Abkhazia.",Union,1
"DER SPIEGEL: For many years, Germany was far from achieving the 2 percent spending goal, and it will likely not reach it this year, either – even despite Chancellor Olaf Scholz's announcement last spring of a renewed focus on defense - the so-called Zeitenwende, or ""watershed"" - and of a special defense fund worth 100 billion euros.",Olaf Scholz,2
"Filiale des Drogeriemarkts dm (Symbolfoto): Sprengsatz im Katzenfutter  Bagger auf geplantem Intel-Werksgelände Von »Unfug« und »Wissenschaftsfeindlichkeit« war die Rede, der Ostbeauftragte der Bundesregierung sprach von einer »eher vulgärökonomischen Einschätzung«: In der Debatte über die Herausforderungen beim geplanten Bau einer riesigen Chipfabrik in Sachsen-Anhalt sind Wissenschaftler und Politiker heftig aneinandergeraten – doch jetzt schlägt die CDU im Landtag versöhnlichere Töne an.",CDU,1
"CDU-Fraktionschef Heuer machte nun klar, dass er dies auch gar nicht fordere: Man habe das Budget des Instituts gerade erst auf mehr als acht Millionen Euro erhöht, »das entspricht einem Mittelaufwuchs von mehr als sechzig Prozent in 15 Jahren«.",CDU,2
"Ähnliche Signale kamen bereits zuvor aus der Landespolitik: Wirtschaftsminister Sven Schulze (CDU) will am Montag nach Halle fahren, um mit Gropp und Holtemöller über die Angelegenheit zu reden.",CDU,2
"Über E-Fuels wird derzeit debattiert, weil die FDP sie zur Bedingung für das in der EU geplante Aus für Autos mit Verbrenner ab 2035 macht .",FDP,2
"Der an den Verhandlungen beteiligte Grünen-Abgeordnete Rasmus Andresen kritisierte: »Durch sehr weitreichende Ausnahmen, beispielsweise für den Inselverkehr und kleinere Schiffe, sind die vereinbarten Schlupflöcher zu groß.«",Grüne,2
Frachtschiff: E-Fuels sind teuer und bislang kaum verfügbar Melden Sie sich an und diskutieren Sie mit  Thomas Kutschaty Der nordrhein-westfälische SPD-Parteichef Thomas Kutschaty hat seinen Rücktritt erklärt.,SPD,1
"Das Präsidium habe Kutschatys Vorschlag, die weitgehend unbekannte Bonnerin Magdalena Möhlenkamp zur neuen Generalsekretärin zu machen, einstimmig abgelehnt, war am Donnerstag aus dem SPD-Landesvorstand verlautet.",SPD,2
"Auch sämtliche SPD-Regionalvorsitzende hätten Kutschatys Vorschlag bei der Sitzung am Mittwoch abgelehnt und Kritik an dem Verfahren geäußert, hieß es weiter.",SPD,1
"Aus der SPD verlautete zudem, dass Kutschaty zuletzt immer wieder in der Partei angeeckt sei.",SPD,1
"Als er vor zwei Jahren gewählt wurde, habe die SPD in NRW bei 17 Prozent gelegen.",SPD,2
Zehn Monate nach der Wahlschlappe der SPD bei der NRW-Landtagswahl ist die Partei damit in eine Führungskrise geraten.,SPD,2
Die NRW-SPD will am 6. Mai bei ihrem Parteitag in Münster eine neue Parteispitze wählen.,SPD,2
"Kutschaty hatte bisher bekräftigt, er wolle weitermachen und weiter Verantwortung an der Spitze der NRW-SPD übernehmen.",SPD,2
"Präsidium und Vorstand der NRW-SPD sollen baldmöglichst zusammenkommen, um darüber zu beraten, wie ein neues Team gefunden werden kann.",SPD,2
Der 54 Jahre alte Rechtsanwalt aus Essen ist zudem stellvertretender SPD-Bundesvorsitzender.,SPD,2
"Die Sozialdemokraten in NRW waren bei der Landtagswahl Mitte Mai 2022 auf einen historischen Tiefstand von 26,7 Prozent (2017: 31,2) abgesackt.",Sozialdemokraten,2
"NRW wird von einer schwarz-grünen Koalition regiert, davor war es ein Bündnis von CDU und FDP.",FDP,2
"NRW wird von einer schwarz-grünen Koalition regiert, davor war es ein Bündnis von CDU und FDP.",CDU,2
Thomas Kutschaty Melden Sie sich an und diskutieren Sie mit  Ampel-Politiker in der Verhandlungsphase 2021 Sie können den Artikel leider nicht mehr aufrufen.,Ampel,1
"Ampel-Politiker in der Verhandlungsphase 2021 Melden Sie sich an und diskutieren Sie mit  Evergrande-Fabrik in Tianjin: Weit hinter den eigenen Zielen zurück Der chinesische Elektroautohersteller Evergrande NEV, Tochter der unter einem riesigen Schuldenberg ächzenden Evergrande-Gruppe, kämpft ums Überleben.",Ampel,1
13.16 Uhr: Zum Auftakt des EU-Gipfels hat Bundeskanzler Olaf Scholz (SPD) die Geschlossenheit der Europäischen Union bei der Unterstützung der Ukraine in ihrem Abwehrkampf gegen die russischen Angreifer beschworen. »,Union,1
13.16 Uhr: Zum Auftakt des EU-Gipfels hat Bundeskanzler Olaf Scholz (SPD) die Geschlossenheit der Europäischen Union bei der Unterstützung der Ukraine in ihrem Abwehrkampf gegen die russischen Angreifer beschworen. »,SPD,1
13.16 Uhr: Zum Auftakt des EU-Gipfels hat Bundeskanzler Olaf Scholz (SPD) die Geschlossenheit der Europäischen Union bei der Unterstützung der Ukraine in ihrem Abwehrkampf gegen die russischen Angreifer beschworen. »,Olaf Scholz,1
"Zu den Worten von Bundesjustizminister Marco Buschmann (FDP), Deutschland müsse das Urteil umsetzen und den russischen Staatschef festnehmen, sollte er deutsches Territorium betreten, sagte Medwedew: »Ist er sich überhaupt klar, dass dies ein Casus Belli, eine Kriegserklärung wäre?",FDP,1
"Zu den Worten von Bundesjustizminister Marco Buschmann (FDP), Deutschland müsse das Urteil umsetzen und den russischen Staatschef festnehmen, sollte er deutsches Territorium betreten, sagte Medwedew: »Ist er sich überhaupt klar, dass dies ein Casus Belli, eine Kriegserklärung wäre?",Marco Buschmann,1
"Ex-US-Präsident Trump: Juristische Scharmützel in verschiedenen Angelegenheiten Melden Sie sich an und diskutieren Sie mit  FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Ob Wirtschaftsminister Habecks Vorwurf absichtlich geleakter Dokumente, der Dauerzwist zwischen Grünen und SPD etwa zu Gasheizungen und Biokraftstoffen  oder Differenzen über den nächsten Haushalt : Die Ampelkoalition ist derzeit nicht arm an Streitthemen.",SPD,1
"Ex-US-Präsident Trump: Juristische Scharmützel in verschiedenen Angelegenheiten Melden Sie sich an und diskutieren Sie mit  FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Ob Wirtschaftsminister Habecks Vorwurf absichtlich geleakter Dokumente, der Dauerzwist zwischen Grünen und SPD etwa zu Gasheizungen und Biokraftstoffen  oder Differenzen über den nächsten Haushalt : Die Ampelkoalition ist derzeit nicht arm an Streitthemen.",Grüne,1
"Ex-US-Präsident Trump: Juristische Scharmützel in verschiedenen Angelegenheiten Melden Sie sich an und diskutieren Sie mit  FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Ob Wirtschaftsminister Habecks Vorwurf absichtlich geleakter Dokumente, der Dauerzwist zwischen Grünen und SPD etwa zu Gasheizungen und Biokraftstoffen  oder Differenzen über den nächsten Haushalt : Die Ampelkoalition ist derzeit nicht arm an Streitthemen.",FDP,1
"Ex-US-Präsident Trump: Juristische Scharmützel in verschiedenen Angelegenheiten Melden Sie sich an und diskutieren Sie mit  FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Ob Wirtschaftsminister Habecks Vorwurf absichtlich geleakter Dokumente, der Dauerzwist zwischen Grünen und SPD etwa zu Gasheizungen und Biokraftstoffen  oder Differenzen über den nächsten Haushalt : Die Ampelkoalition ist derzeit nicht arm an Streitthemen.",Ampelkoalition,1
"Ex-US-Präsident Trump: Juristische Scharmützel in verschiedenen Angelegenheiten Melden Sie sich an und diskutieren Sie mit  FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Ob Wirtschaftsminister Habecks Vorwurf absichtlich geleakter Dokumente, der Dauerzwist zwischen Grünen und SPD etwa zu Gasheizungen und Biokraftstoffen  oder Differenzen über den nächsten Haushalt : Die Ampelkoalition ist derzeit nicht arm an Streitthemen.",Ampel,1
"Ex-US-Präsident Trump: Juristische Scharmützel in verschiedenen Angelegenheiten Melden Sie sich an und diskutieren Sie mit  FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Ob Wirtschaftsminister Habecks Vorwurf absichtlich geleakter Dokumente, der Dauerzwist zwischen Grünen und SPD etwa zu Gasheizungen und Biokraftstoffen  oder Differenzen über den nächsten Haushalt : Die Ampelkoalition ist derzeit nicht arm an Streitthemen.",Christian Lindner,1
"Ex-US-Präsident Trump: Juristische Scharmützel in verschiedenen Angelegenheiten Melden Sie sich an und diskutieren Sie mit  FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Ob Wirtschaftsminister Habecks Vorwurf absichtlich geleakter Dokumente, der Dauerzwist zwischen Grünen und SPD etwa zu Gasheizungen und Biokraftstoffen  oder Differenzen über den nächsten Haushalt : Die Ampelkoalition ist derzeit nicht arm an Streitthemen.",Bijan Djir-Sarai,1
"In puncto Haushalt hat FDP-Generalsekretär Bijan Djir-Sarai nun aber den Ton verschärft: »Wir haben kein gemeinsames Grundverständnis in der Bundesregierung, was die finanzpolitische Realität betrifft«, sagte er der Nachrichtenagentur dpa.",FDP,1
"In puncto Haushalt hat FDP-Generalsekretär Bijan Djir-Sarai nun aber den Ton verschärft: »Wir haben kein gemeinsames Grundverständnis in der Bundesregierung, was die finanzpolitische Realität betrifft«, sagte er der Nachrichtenagentur dpa.",Bijan Djir-Sarai,1
"Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner hier als Spielverderber sehen.«",FDP,2
"Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner hier als Spielverderber sehen.«",Christian Lindner,2
"Der Abschaffung der Pendlerpauschale, wie sie die Grünen fordern, erteilte er eine Absage.",Grüne,2
"Die Forderungen der FDP nach Haushaltsdisziplin seien nichts Außergewöhnliches, »sondern lediglich die Forderung nach Einhaltung des Koalitionsvertrages«, sagte Djir-Sarai.",FDP,2
"FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Melden Sie sich an und diskutieren Sie mit  Trotz Zeitenwende ist der Zustand der Bundeswehr blamabel.",FDP,1
"FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Melden Sie sich an und diskutieren Sie mit  Trotz Zeitenwende ist der Zustand der Bundeswehr blamabel.",Christian Lindner,1
"FDP-Generalsekretär Bijan Djir-Sarai: »Es ist erkennbar, dass einige die FDP und vor allem Bundesfinanzminister Christian Lindner als Spielverderber sehen« Axel Heimken / dpa Melden Sie sich an und diskutieren Sie mit  Trotz Zeitenwende ist der Zustand der Bundeswehr blamabel.",Bijan Djir-Sarai,1
"Über die kurze Amtszeit von Christine Lambrecht, die Militärhilfe für die Ukraine und die Mängel, die der Wehrbeauftragten das Wort »erbärmlich« entlocken.",Christine Lambrecht,1
